,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
112002,0,0.241787886,57,0,0.164547922,7000.0,10,0,0,0,0.0
30130,0,0.076859174,47,0,2014.0,,7,0,1,0,2.0
75569,0,0.048061324,33,4,0.112749616,3254.0,15,0,0,1,1.0
55266,0,0.9999999,60,0,1423.0,,2,1,1,0,1.0
10272,0,0.0,40,0,0.372738813,6301.0,5,0,1,0,4.0
33631,0,0.198500056,34,0,0.606605257,4450.0,5,0,1,0,0.0
124878,0,0.0,65,2,0.626999674,6125.0,13,0,2,0,0.0
97909,0,0.077842886,50,0,0.257893407,3958.0,11,0,1,0,0.0
34310,0,0.4365536099999999,56,0,1424.0,,11,0,1,0,1.0
17620,0,0.0946035979999999,23,0,0.001563722,2557.0,2,0,0,0,0.0
6501,1,0.1814537049999999,55,0,2.055234087,1900.0,16,0,2,0,0.0
130496,1,0.9999999,58,0,0.0,44514.0,0,0,0,0,0.0
42268,0,0.355774874,67,0,0.460394199,2688.0,6,2,1,0,0.0
63375,0,0.587382602,71,0,1.248636859,916.0,4,0,0,0,0.0
59609,0,0.262486876,52,0,0.270618351,12500.0,6,0,1,0,2.0
88118,1,0.8305647840000002,53,0,1053.0,,6,6,0,0,0.0
135311,0,0.000698068,57,0,0.0,4832.0,12,0,0,0,0.0
144990,0,0.757260294,33,0,0.173191313,7228.0,7,0,0,0,2.0
133310,0,0.575837056,45,3,0.4000399969999999,15000.0,12,0,7,0,2.0
149376,0,0.0763879829999999,40,0,0.0076090139999999,6833.0,4,0,0,0,3.0
149588,0,0.0384644889999999,63,0,0.130347861,2500.0,5,0,1,0,0.0
109820,0,0.872972372,55,4,0.5586592179999998,2505.0,9,0,1,0,1.0
121516,0,0.009333228,44,1,0.609379094,3816.0,10,0,4,0,1.0
62235,0,0.057999252,80,0,134.0,,6,0,0,0,0.0
84152,0,0.381460996,47,0,0.2931854199999999,3154.0,7,0,0,0,0.0
102615,0,0.2503143019999999,56,0,0.496782102,6525.0,11,0,1,0,0.0
47878,0,0.119494687,58,0,0.53056256,11500.0,7,0,2,0,1.0
93615,0,0.0108725839999999,59,0,516.0,,9,0,1,0,0.0
1986,0,0.0,24,0,0.0,3100.0,1,0,0,0,0.0
32392,0,0.016999056,59,0,0.290963152,9416.0,9,0,3,0,0.0
85965,0,0.1452909759999999,50,0,0.270815377,5800.0,11,0,1,0,3.0
67830,0,0.007886769,56,0,0.382529398,4166.0,4,0,2,0,2.0
111728,0,0.0364916689999999,55,0,0.4536346689999999,8583.0,12,0,4,0,0.0
6897,0,0.3054034749999999,35,1,0.2078358429999999,16666.0,3,1,1,0,0.0
81761,0,0.429913339,50,0,0.114524632,5500.0,6,0,0,0,0.0
80468,0,0.9999999,24,0,0.086049544,2300.0,2,0,0,0,0.0
27969,0,0.00075997,58,0,0.0,11800.0,4,0,0,0,1.0
126812,0,0.014579705,36,0,0.045465365,4200.0,9,0,0,0,0.0
86477,0,0.0,72,0,0.0,1587.0,4,0,0,0,0.0
71711,0,0.218079196,69,0,1559.0,,13,0,2,0,0.0
131960,0,0.00309071,72,0,0.2947009409999999,15832.0,16,0,2,0,0.0
95408,0,0.966754156,39,2,0.0774064549999999,3500.0,2,0,0,0,0.0
94504,0,0.2247525509999999,61,0,0.637318659,3997.0,7,0,2,0,1.0
124827,0,0.0334991629999999,83,0,0.001844116,26570.0,5,0,0,0,0.0
21269,0,0.008980135,81,0,0.0037873049999999,6600.0,10,0,0,0,0.0
70345,0,0.871237625,51,0,0.367642656,16700.0,16,0,1,0,3.0
131229,0,0.088319648,54,0,0.222308632,9000.0,9,0,0,0,0.0
29059,0,0.431340274,65,4,0.680429803,18333.0,29,0,8,0,0.0
107147,0,0.102506586,41,0,0.343703126,33333.0,12,0,1,0,2.0
3488,0,0.3132472499999999,30,0,0.114670177,6836.0,5,0,0,0,1.0
72358,0,0.0069187839999999,62,1,0.225231402,8750.0,17,0,2,0,0.0
128593,0,0.00592843,80,0,7.0,,6,0,0,0,0.0
99611,0,0.2539782239999999,53,0,0.453231524,11000.0,22,0,3,0,1.0
79813,0,0.095876165,74,0,0.01616532,12000.0,3,0,0,0,0.0
38626,1,0.98296837,64,3,0.976804639,5000.0,15,0,1,0,0.0
46167,0,0.9999999,27,1,0.433151432,1465.0,3,0,0,0,0.0
42409,0,0.0,40,0,2249.0,,6,0,1,0,0.0
121477,0,0.0155903499999999,63,0,0.727915194,3678.0,11,0,2,0,1.0
91413,0,0.0385426509999999,29,0,0.154682274,2391.0,4,1,0,0,2.0
65966,0,0.171608435,78,0,0.3551289739999999,5000.0,7,0,1,0,0.0
2034,0,0.971792188,52,0,0.76123817,5071.0,15,0,1,0,1.0
26862,0,1.004694383,61,0,0.721835387,5600.0,7,0,1,1,0.0
21363,0,0.9999999,30,0,41.0,,3,1,0,0,1.0
29303,0,0.091501834,65,0,0.227013918,9483.0,6,0,2,0,3.0
2926,0,0.007892757,60,0,0.168593933,11933.0,17,0,1,0,0.0
94086,0,0.138444328,51,0,0.256376823,12270.0,6,0,2,0,1.0
4132,1,0.971434849,44,7,0.797264682,8700.0,16,0,1,2,0.0
3529,0,0.0,60,0,0.578962054,3583.0,7,0,1,0,0.0
98629,0,0.0961610519999999,54,0,0.2344232749999999,7767.0,19,0,2,0,6.0
62952,1,0.4394409269999999,57,0,0.797506739,5935.0,15,0,2,0,0.0
123422,0,0.3450851739999999,51,0,0.4205197789999999,9580.0,7,0,1,0,2.0
79781,0,0.641781096,63,0,0.406135291,11441.0,11,0,3,0,0.0
23303,0,0.004620744,70,0,0.0679938189999999,11000.0,6,0,0,0,0.0
10765,0,0.01392649,86,0,0.0094392,1800.0,3,0,0,0,0.0
91971,0,0.0910605959999999,67,0,0.480029586,4055.0,4,0,1,0,1.0
72586,0,0.235863593,60,0,0.6197183099999999,3833.0,11,0,1,0,0.0
104119,0,0.0295219349999999,48,0,0.907454087,2776.0,11,0,1,0,2.0
42534,0,0.005485401,43,0,0.482919513,6000.0,14,0,2,0,0.0
70008,0,0.9999999,42,1,91.0,,0,0,0,0,0.0
878,0,0.4528642849999999,49,0,0.3309472279999999,6006.0,10,0,1,0,1.0
60650,0,0.0,58,0,0.208379162,10000.0,7,0,3,0,0.0
45943,0,0.0745115859999999,30,0,4.0,,1,0,0,0,0.0
86950,0,0.9999999,41,0,0.0,2200.0,0,1,0,0,5.0
30148,0,0.009939193,55,0,0.3475935829999999,4300.0,10,0,2,0,2.0
18159,0,0.001439358,62,0,6173.0,,8,0,3,0,0.0
116629,0,0.9999999,47,0,0.428734647,3500.0,3,0,1,0,0.0
20786,0,0.000367332,62,0,0.0,4250.0,2,0,0,0,1.0
146101,0,0.6645759479999999,44,0,0.679175476,3783.0,7,0,2,0,0.0
46995,0,1.019040528,38,1,0.65901518,2700.0,14,0,1,0,1.0
130943,0,0.200598103,43,0,0.1760513189999999,4208.0,6,0,0,0,2.0
56970,1,0.3680156749999999,43,0,0.27560071,6200.0,19,0,1,0,0.0
100332,0,0.181749758,56,0,0.553473624,3468.0,12,0,1,0,0.0
84629,0,0.10791217,65,0,0.1322737069999999,3711.0,9,0,0,0,0.0
39730,0,0.855754097,48,0,0.290677331,4000.0,4,0,0,0,1.0
20725,0,0.0038245509999999,42,0,497.0,,10,0,0,0,0.0
100692,0,0.406381023,44,0,0.426397735,5651.0,11,0,1,0,0.0
46540,0,0.1825226759999999,50,0,0.0819890679999999,7500.0,13,0,1,0,3.0
25605,0,0.205063871,67,0,0.3675147209999999,9000.0,11,0,2,0,4.0
59171,0,0.0073435209999999,91,0,6.0,,7,0,0,0,0.0
101986,1,0.75659847,73,0,0.8477577829999998,3500.0,7,0,3,0,2.0
79151,0,0.056015077,44,0,0.331609466,6380.0,7,0,0,0,5.0
70730,0,0.9999999,82,0,0.0,,0,0,0,0,0.0
70270,0,0.2798888339999999,39,0,0.300308536,2916.0,9,0,0,0,2.0
73729,0,0.568610025,35,2,0.392121431,2766.0,6,0,0,0,2.0
135074,0,0.0084459219999999,84,0,0.0376865099999999,6500.0,12,0,0,0,0.0
26203,0,0.466613355,28,0,0.1447465099999999,1360.0,4,0,0,0,0.0
40656,0,0.7794073529999997,35,0,0.209821429,3583.0,6,0,0,0,0.0
83008,0,0.1847446409999999,52,1,2.471264368,2000.0,14,0,4,0,0.0
124120,0,0.121127038,69,0,0.6527438349999999,4500.0,11,0,1,0,0.0
132989,0,1.0337046559999998,32,1,0.143489487,5421.0,6,0,0,0,0.0
133725,0,0.212121212,67,1,0.514780101,1386.0,15,0,0,0,0.0
99407,0,0.2590855799999999,72,0,3724.0,,6,0,4,0,0.0
27020,0,0.614804314,40,1,0.7086723559999998,5038.0,13,0,1,0,2.0
146516,0,0.9999999,32,0,0.167104112,8000.0,9,0,2,0,0.0
134225,0,0.0085415179999999,64,0,0.176182382,10000.0,5,0,1,0,1.0
61545,0,0.138510328,61,0,0.3299414419999999,10416.0,9,0,2,0,0.0
61594,0,0.315931715,59,1,0.503479722,8333.0,9,0,2,0,5.0
53446,0,0.036160573,49,1,4.909454061,750.0,18,0,2,0,0.0
123825,0,0.9240038,55,1,0.3172591679999999,8916.0,9,0,2,1,0.0
101458,0,0.032299024,37,0,0.4690068869999999,4500.0,11,0,1,0,1.0
28914,0,0.0,54,0,2138.0,,9,0,1,0,0.0
140155,0,0.0442555239999999,78,0,0.0214892549999999,2000.0,5,0,0,0,0.0
114670,0,0.163162033,45,0,0.558244232,7107.0,6,0,1,0,2.0
23035,0,0.0396748599999999,75,0,0.0089955019999999,2000.0,3,0,0,0,0.0
103357,0,0.9999999,25,0,2.0,,0,0,0,0,0.0
121133,0,0.05392319,39,0,0.3722989199999999,6663.0,10,0,2,0,0.0
48702,0,0.0760544019999999,51,0,2.294274301,750.0,13,0,1,0,2.0
77586,0,0.011748531,79,0,0.0014275519999999,1400.0,4,0,0,0,1.0
88947,0,0.0462951529999999,50,0,1994.0,,11,0,2,0,0.0
64064,0,0.165073989,45,0,0.170184403,4500.0,7,0,0,0,0.0
61738,0,0.310343285,73,0,4615.0,,8,0,2,0,0.0
9861,0,0.0095251219999999,43,0,0.6776935259999999,12000.0,6,0,2,0,4.0
128316,0,0.9999999,32,0,0.0,4400.0,0,2,0,0,0.0
14631,1,0.7520564039999998,38,1,0.0233236149999999,2400.0,4,0,0,0,2.0
41456,0,0.8657587549999999,42,3,0.616890023,4700.0,8,2,1,0,4.0
57938,0,0.050506572,44,0,0.242620062,6808.0,7,0,2,0,1.0
21555,0,0.2481705939999999,31,0,0.280494456,5500.0,22,0,0,0,0.0
40130,0,0.938025658,44,0,0.901756312,1821.0,8,0,0,0,2.0
126533,0,0.006119755,80,0,0.000930016,4300.0,4,0,0,0,0.0
52255,0,0.9999999,31,0,0.007052186,1417.0,1,0,0,0,0.0
92788,0,0.2095619039999999,49,0,0.3743315509999999,4300.0,6,0,1,0,1.0
86978,0,0.0175542019999999,64,0,888.0,,5,0,2,0,0.0
119195,0,0.029020396,53,0,882.0,,7,0,1,0,0.0
125734,0,0.5370115749999999,42,0,0.563188254,7627.0,12,0,1,0,2.0
71362,0,1.089820359,22,0,0.0792129159999999,1981.0,3,0,0,0,0.0
82496,1,0.8071928069999998,28,1,0.320956801,2800.0,5,1,0,3,0.0
16160,0,0.220959936,32,0,0.614038742,4800.0,12,0,1,0,0.0
10370,0,0.0766716309999999,64,0,0.3029175639999999,5106.0,5,0,1,0,0.0
104266,0,1.637271215,64,2,0.16066838,3889.0,3,1,0,0,0.0
115631,0,0.13697688,72,0,77.0,,4,0,0,0,0.0
84401,0,0.458167331,60,0,278.0,,2,0,0,0,0.0
79698,0,0.9999999,49,0,0.149375478,3922.0,3,0,0,0,2.0
56585,0,0.040951854,70,0,96.0,,7,0,0,0,0.0
146368,0,0.00411758,41,2,0.8668532590000001,2500.0,9,0,2,0,0.0
56041,0,0.4427658219999999,63,0,0.7858017140000001,3267.0,15,0,0,0,0.0
101183,0,0.0,29,0,0.10401136,8450.0,10,0,1,0,0.0
62194,1,0.549382386,29,1,0.3700449969999999,14000.0,12,1,1,0,0.0
132556,0,0.6541045349999999,91,0,0.6236860549999999,1426.0,6,0,0,0,0.0
105828,0,0.877126245,34,0,1.169216061,4183.0,17,0,2,0,2.0
64665,0,0.3918111349999999,51,0,0.0982874839999999,10977.0,5,0,0,0,2.0
4993,0,0.640669916,71,0,0.3878845539999999,3152.0,10,0,1,0,0.0
91058,0,0.0,59,0,0.0007355099999999,6797.0,4,0,0,0,0.0
66811,0,0.9999999,69,0,4800.0,,3,0,2,0,0.0
106483,0,0.0870293319999999,72,0,0.109608609,10500.0,32,0,1,0,0.0
41460,0,0.6846647719999999,48,0,0.051719541,3750.0,4,0,0,0,0.0
76633,0,0.006404353,70,0,2033.0,,8,0,1,0,0.0
105444,0,0.6478044829999999,46,0,1.111725955,3794.0,22,0,2,0,1.0
16974,0,0.2492017639999999,61,0,0.4686726339999999,5250.0,15,0,2,0,1.0
41734,0,0.0,43,2,0.01059788,5000.0,18,0,0,1,0.0
107523,0,0.109965847,38,0,0.390112942,5400.0,7,0,1,0,0.0
100224,0,0.0,46,0,267.0,,5,0,0,0,0.0
34079,0,0.9999999,51,0,956.0,,3,0,1,0,0.0
2521,0,0.7230532269999999,47,1,4.340182648,875.0,11,1,1,0,4.0
86384,0,0.038917893,53,5,0.367739478,5250.0,20,0,2,1,2.0
98065,0,0.250203545,30,0,365.0,,9,0,0,0,0.0
60225,0,0.8031494529999998,63,0,0.247254243,11016.0,10,0,2,0,1.0
129746,0,0.045907993,85,0,376.0,,7,0,0,0,0.0
27916,0,0.1260647359999999,52,0,1047.0,,3,0,1,0,0.0
44232,0,0.108441206,33,0,0.177508145,8900.0,8,0,2,0,2.0
102247,0,0.017346258,74,2,0.135303266,5143.0,10,0,1,1,0.0
60336,0,0.106258868,78,0,1488.0,,7,0,1,0,1.0
13791,0,0.040563147,64,0,0.589444825,2917.0,10,0,2,0,0.0
108306,1,0.0,40,2,0.3382512479999999,4608.0,8,1,1,0,0.0
63014,0,0.0078661419999999,62,0,3.0,,3,0,0,0,0.0
83119,0,0.9999999,23,0,0.0,1.0,1,0,0,0,0.0
124309,0,0.4129411439999999,49,1,0.356006666,6600.0,10,0,2,0,1.0
19415,0,0.9999999,40,1,1.11492817,1600.0,5,0,1,0,2.0
67191,0,0.085824788,73,0,0.258310121,5384.0,11,0,2,0,1.0
81698,0,0.308273461,36,0,0.7173026159999998,4166.0,10,0,1,0,0.0
20528,0,0.930116473,44,0,0.0238095239999999,671.0,1,0,0,0,0.0
28987,0,0.3379774679999999,42,1,0.2533238789999999,5640.0,6,0,1,0,2.0
132280,0,0.6213323789999999,59,0,0.6983141079999999,6761.0,11,0,2,0,0.0
108536,0,0.00739926,58,0,4496.0,,4,0,1,0,0.0
130239,0,0.025860285,70,0,0.0495560359999999,8333.0,7,0,0,0,0.0
94638,0,0.3250086099999999,38,0,0.338227297,9194.0,12,0,1,0,3.0
64002,0,0.114094295,49,2,2373.0,,6,0,1,0,0.0
91917,0,0.090290481,67,0,0.109585389,7500.0,4,0,1,0,0.0
56819,0,0.013031867,64,0,7414.0,,13,0,2,0,0.0
90717,0,0.111639917,73,0,0.2811209439999999,6779.0,9,0,2,0,1.0
102347,0,0.7365380169999999,40,0,150.0,0.0,2,0,0,1,0.0
73446,0,0.274952226,37,1,0.765128389,5568.0,19,0,2,0,0.0
67654,0,0.1565752599999999,57,0,0.5836333089999999,12500.0,14,0,3,0,4.0
116940,0,0.001677392,82,0,0.0157894739999999,189.0,8,0,0,0,0.0
130224,0,0.164675445,44,0,0.341393207,5210.0,11,0,1,0,0.0
57516,0,0.055339565,66,0,0.02312211,8000.0,7,0,1,0,0.0
91591,0,0.844311377,40,0,0.235640648,2715.0,3,0,1,0,0.0
80305,0,0.016974314,77,0,50.0,,5,0,0,0,0.0
5903,1,0.047702369,59,1,2202.0,,20,0,1,0,0.0
53936,0,0.0248117799999999,77,0,0.286560484,7596.0,12,0,2,0,0.0
54506,0,0.039643563,60,0,0.005767138,9189.0,4,0,0,0,1.0
53740,0,0.0434644859999999,44,0,0.555222253,11000.0,11,0,3,0,2.0
82450,0,0.0115383139999999,51,0,0.356866538,9305.0,20,0,2,0,0.0
65929,0,0.0850028179999999,46,0,0.106394509,5535.0,9,0,0,0,0.0
14561,0,0.569407604,62,0,0.680841048,6372.0,14,0,2,0,0.0
51036,0,0.236803896,43,0,0.378062194,10000.0,12,0,2,0,4.0
7762,0,0.0152852779999999,39,0,0.040993168,6000.0,9,0,0,0,0.0
103535,0,0.03159842,57,0,0.3294450919999999,6000.0,6,0,2,0,0.0
14099,0,0.506545212,62,0,0.266630197,18279.0,15,0,2,0,0.0
91865,0,0.041627043,46,0,0.025828757,4916.0,4,0,0,0,1.0
31365,0,0.037096664,67,0,49.0,,8,0,0,0,0.0
16218,0,0.852026904,31,0,0.482398957,2300.0,7,0,0,0,2.0
73962,0,0.0004866119999999,54,0,0.217250141,7083.0,27,0,1,0,2.0
87790,0,0.9999999,37,0,1.041949778,3384.0,5,0,2,0,2.0
112806,0,0.013472975,33,0,0.3629092729999999,4000.0,9,0,1,0,0.0
106548,0,0.0943104119999999,47,2,0.619645917,1750.0,3,0,1,0,2.0
31755,0,0.0695923489999999,61,1,0.2653239239999999,12610.0,18,0,1,0,3.0
35645,0,0.0435732669999999,33,0,0.0584709839999999,6840.0,14,0,0,0,0.0
75440,0,0.1321735649999999,37,0,27.0,,5,0,0,0,0.0
122886,0,0.238035975,33,0,1.5272540280000002,2916.0,9,0,1,0,0.0
51788,0,0.068029999,40,0,0.155561829,7083.0,4,0,1,0,3.0
21522,0,0.275825672,64,0,0.167620454,10833.0,6,0,1,0,1.0
107018,0,0.5956140629999999,50,0,0.4681151239999999,3543.0,6,0,1,0,0.0
11137,0,0.013121012,69,0,389.0,,11,0,0,0,0.0
45333,0,0.172201986,52,0,1344.0,,6,0,1,0,0.0
101735,0,0.0973073849999999,29,0,0.1425934469999999,6500.0,4,0,0,0,0.0
147623,0,0.1888421469999999,57,0,1243.0,,6,0,1,0,0.0
111111,0,0.100214538,66,0,930.0,,9,0,0,0,0.0
131254,0,0.1830801019999999,78,0,1.269992838,4188.0,16,0,2,0,0.0
87073,0,0.000228357,56,0,0.6196091639999999,5935.0,10,0,2,0,1.0
83843,0,0.010856828,61,0,0.0083991599999999,10000.0,13,0,0,0,0.0
20953,0,0.3410944249999999,66,0,1162.0,,7,0,0,2,0.0
10530,0,0.432587469,45,0,0.3328286169999999,10566.0,10,0,1,0,2.0
64108,0,0.0,62,0,0.415178571,5375.0,7,0,1,0,1.0
131692,0,0.0196608339999999,57,0,0.471783296,3100.0,11,0,1,0,0.0
81302,0,0.07080923,81,0,0.405259474,10000.0,14,0,3,0,1.0
31730,0,0.004498214,66,0,0.421431427,2500.0,31,0,1,0,0.0
129888,0,0.157286217,57,0,0.553658949,5916.0,25,0,2,0,1.0
43488,0,0.043792097,77,0,0.360808709,4500.0,6,0,2,0,0.0
144701,1,0.1990835129999999,39,1,0.562594992,12500.0,8,0,4,0,1.0
14208,0,0.0,21,0,1050.0,,5,0,1,0,0.0
75648,0,0.063283737,65,0,0.7941009639999999,3525.0,10,0,1,0,0.0
42296,0,0.173945363,41,0,0.473815773,8000.0,8,0,2,0,2.0
141534,0,0.0,29,0,0.02238806,1473.0,4,0,0,0,0.0
30152,0,0.0,63,0,0.3677895709999999,2166.0,4,0,0,0,0.0
4960,0,0.073437039,54,0,1.3688955669999998,1330.0,5,0,1,0,2.0
59521,0,0.0,59,0,86.0,,4,0,0,0,0.0
34603,0,0.010570026,55,0,0.144714117,11000.0,14,0,1,0,3.0
82691,0,0.1319848449999999,67,0,0.202736949,1972.0,6,0,0,0,0.0
141655,0,0.3806834889999999,30,0,0.6822175099999999,3300.0,6,0,1,0,1.0
9683,1,0.9999999,37,1,435.0,,1,3,0,1,0.0
108862,0,0.000835146,62,0,0.0491300579999999,15000.0,6,0,1,0,2.0
42365,1,0.9999999,39,0,0.3525491499999999,3000.0,3,0,1,0,1.0
10782,0,0.609914511,47,0,0.983468871,7500.0,13,0,2,0,2.0
59278,1,0.398446385,76,1,0.141287153,12010.0,12,0,2,0,0.0
118310,0,0.1748883599999999,69,0,837.0,,9,0,0,0,0.0
127687,1,0.2249204599999999,34,0,0.128318584,7457.0,9,0,0,0,1.0
97987,0,0.0654418549999999,67,0,0.0259079899999999,4129.0,6,0,0,0,0.0
18948,0,0.025239867,87,0,0.5210957809999999,5000.0,7,0,2,0,0.0
34185,0,0.0,70,0,1039.0,,7,0,1,0,0.0
141928,0,0.744553462,40,0,0.326996667,8100.0,12,0,1,0,2.0
20852,0,0.5646246139999999,37,0,0.20189905,2000.0,5,0,0,0,1.0
94214,0,0.7699720009999999,53,1,0.497105568,9500.0,13,0,2,0,2.0
129025,0,0.032383057,64,0,0.013088529,5500.0,4,0,0,0,0.0
81543,0,0.0229791659999999,57,0,0.0598485929999999,7000.0,12,0,0,0,1.0
113001,0,0.4859028189999999,37,0,0.180915922,7052.0,3,0,0,0,0.0
70338,0,0.059228537,42,0,0.2592486789999999,7000.0,10,0,1,0,0.0
140141,0,0.3247882719999999,31,0,0.192623861,4500.0,5,0,1,0,3.0
147876,0,0.155009718,45,0,0.2191993379999999,9666.0,6,0,1,0,3.0
66279,0,0.0,51,0,1.330505907,3300.0,8,0,4,0,1.0
51745,0,0.282860191,71,1,0.475641949,4166.0,8,0,1,0,0.0
102721,0,0.009390386,87,0,0.002399232,2083.0,2,0,0,0,0.0
79871,0,0.0819069969999999,79,0,0.332137365,3901.0,9,0,1,0,1.0
5267,0,0.8873743909999998,33,0,0.1566987819999999,5500.0,13,0,0,0,0.0
49748,0,0.11251981,57,0,2274.0,,7,0,1,0,1.0
136785,0,0.106813038,43,0,0.477087152,6000.0,18,0,1,0,0.0
64811,0,0.039351453,79,0,0.264586771,6666.0,17,0,1,0,0.0
32751,0,1.066833751,51,0,616.0,,5,0,0,0,3.0
115684,0,0.0102989699999999,76,0,3.0,,2,0,0,0,0.0
82889,0,0.094884071,65,0,194.0,,14,0,0,0,0.0
60842,0,0.97440128,53,0,0.291284786,6000.0,4,0,1,0,2.0
40980,0,0.5950385089999999,35,0,0.5127618379999999,5680.0,10,0,3,0,0.0
37483,0,0.2704248719999999,57,0,0.4657968539999999,8200.0,6,0,3,0,0.0
73416,0,0.0030512429999999,71,0,12.0,,10,0,0,0,0.0
93768,0,0.9999999,62,1,0.4263593809999999,2776.0,2,1,1,0,0.0
126713,0,0.562587786,47,0,2595.0,,14,0,1,0,2.0
127315,0,0.805659479,40,2,0.573506021,4400.0,9,0,0,0,2.0
81110,0,0.974075274,81,0,0.703217744,3200.0,7,0,1,0,1.0
47603,1,0.968555252,56,0,0.455966839,13750.0,17,0,1,0,6.0
91848,1,0.0705467369999999,55,0,0.2768166089999999,2600.0,9,0,0,0,0.0
65181,0,0.946690761,68,0,621.0,,16,0,0,0,0.0
115105,0,0.0,50,0,0.307692308,10451.0,17,0,5,0,0.0
65978,0,0.01256466,71,0,0.0580897059999999,10500.0,7,0,1,0,0.0
105422,0,0.390855343,57,0,0.629898403,6200.0,22,0,1,1,1.0
34844,0,0.0608292029999999,50,0,0.1989549059999999,10333.0,7,0,1,0,2.0
71465,0,0.8574069409999998,41,0,0.328458943,8000.0,8,0,1,0,1.0
1200,1,0.0,36,0,0.1576782449999999,4375.0,7,0,0,0,2.0
125371,0,0.215235049,41,0,0.1654891629999999,8350.0,11,0,1,0,0.0
110973,0,0.7571775459999999,32,1,0.569582872,5417.0,6,1,1,0,0.0
78070,0,0.0,42,0,0.2458613339999999,6100.0,7,0,1,0,5.0
35523,0,0.045350183,67,0,147.0,,7,0,1,0,0.0
48586,0,0.4990411799999999,42,0,3394.0,,24,0,1,0,1.0
146840,0,0.2805054499999999,51,2,0.573749308,5416.0,10,0,1,0,0.0
86983,0,0.7495109590000002,68,0,0.8053045759999998,3430.0,9,0,2,0,0.0
143447,0,0.9999999,30,0,0.069970845,5830.0,2,0,0,0,2.0
13210,0,0.027001223,37,0,2616.0,,13,0,2,0,0.0
70535,0,0.931749022,45,0,1842.0,,7,0,1,0,0.0
135629,0,0.73245316,58,6,0.232798015,7658.0,9,1,1,0,0.0
121427,0,0.0703286449999999,87,0,47.0,,2,0,0,0,0.0
143372,0,0.0124543569999999,60,0,0.46039329,9000.0,16,0,2,0,0.0
117219,0,0.0,65,0,1396.0,,3,0,1,0,0.0
138447,0,0.15094593,51,0,0.4144997799999999,4537.0,26,0,2,0,3.0
134067,0,0.007905511,62,0,12.0,0.0,6,0,0,0,0.0
127296,0,0.980769847,48,1,0.531312592,7488.0,5,0,2,0,3.0
94888,0,0.024619392,38,0,841.0,,6,0,0,0,0.0
148202,0,0.626474705,46,0,0.3830921549999999,2625.0,5,0,1,0,2.0
