,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,dummy
28876,0,0.038512162,44,1,0.090272763,18000.0,10,0,2,0,1.0,1
127014,0,0.092196335,44,0,0.7578297309999998,6800.0,12,0,1,0,2.0,1
81608,0,0.107476784,60,0,0.903798367,8450.0,11,0,3,0,0.0,1
114001,0,0.0566883499999999,49,0,0.279897608,12500.0,17,0,1,0,1.0,1
49414,0,0.278922669,61,0,0.368134587,8083.0,7,0,2,0,0.0,1
120343,0,0.0756832149999999,62,0,0.1536936559999999,9583.0,7,0,1,0,2.0,1
40211,0,0.1185470359999999,49,0,142.0,0.0,8,0,0,0,2.0,1
13360,0,0.0204025959999999,70,2,2932.0,,29,0,1,0,0.0,0
140379,0,0.9999999,27,0,0.098644746,4500.0,3,0,0,0,0.0,1
91959,0,0.022935078,83,0,21.0,,7,0,0,0,0.0,0
66623,0,0.0471127309999999,74,0,1014.0,,5,0,1,0,0.0,0
138884,0,0.0,67,0,0.107122008,3425.0,5,0,0,0,1.0,1
143770,0,0.310524624,48,0,0.737641977,6250.0,8,0,3,0,3.0,1
65073,1,1.447761194,51,0,0.005661713,1412.0,1,0,0,0,0.0,1
89359,0,0.155310949,42,0,0.285452425,6000.0,18,0,0,0,0.0,1
147912,1,0.8354816029999999,46,1,0.2910967119999999,4166.0,6,0,0,1,2.0,1
63726,1,0.7053529759999999,46,1,0.202037351,5300.0,4,0,0,0,3.0,1
61926,0,0.0319044149999999,39,0,0.373311428,5477.0,5,0,1,0,3.0,1
130651,0,0.384387122,72,0,2.507936508,1700.0,15,0,2,0,0.0,1
23153,0,0.029352596,82,0,0.494156928,1197.0,7,0,1,0,0.0,1
142644,0,0.817672744,48,0,0.1944224679999999,15167.0,11,0,2,0,0.0,1
42942,0,0.02361274,71,0,0.69516935,1800.0,21,0,1,0,0.0,1
1509,0,0.054783369,63,0,0.0999800039999999,5000.0,15,0,0,0,1.0,1
98692,0,0.088742605,38,0,0.049590082,5000.0,10,0,0,0,0.0,1
138565,0,0.001478949,61,0,0.0003132829999999,9575.0,6,0,0,0,1.0,1
2452,0,0.353155374,45,0,1435.0,1.0,13,0,2,0,2.0,1
55589,0,0.022838166,31,0,0.497918401,1200.0,14,0,0,0,0.0,1
130672,1,0.9999999,60,1,0.0907537169999999,5850.0,7,0,1,0,2.0,1
1605,0,0.911540163,46,0,3353.0,,7,0,1,0,1.0,0
61810,0,0.362533867,54,0,0.224555089,5000.0,7,0,0,1,1.0,1
105240,0,0.053331139,62,0,1.112168593,1470.0,11,0,1,0,2.0,1
45036,0,0.6978156740000001,62,0,0.290027605,11591.0,8,0,1,0,2.0,1
143583,0,0.366314318,44,0,3207.0,,16,0,2,0,0.0,0
33678,1,0.747859488,38,0,856.0,1.0,9,0,0,0,0.0,1
76402,0,0.1233463759999999,43,0,0.4470571469999999,7016.0,6,0,2,0,0.0,1
88191,0,0.036162758,35,0,0.2160391979999999,20000.0,8,0,1,0,1.0,1
8012,0,0.301493942,53,0,0.010398614,7500.0,5,0,0,0,2.0,1
80037,1,0.241251122,26,0,0.134621793,3000.0,5,0,0,0,2.0,1
102001,0,0.0804919509999999,76,0,0.005578801,4301.0,5,0,0,0,0.0,1
2668,0,0.8001482819999999,41,0,0.235855487,4400.0,12,0,0,0,3.0,1
118168,0,0.193349915,44,0,0.105052944,10765.0,13,0,0,0,0.0,1
51378,0,0.101012674,51,0,0.363128492,3400.0,5,0,1,0,0.0,1
38436,1,0.429246744,60,3,1.50041632,1200.0,16,0,0,0,0.0,1
143415,0,0.02745565,87,0,60.0,,6,0,0,0,0.0,0
32151,0,0.675354976,35,0,0.238017267,6717.0,3,0,1,0,0.0,1
133119,1,0.8937671499999998,63,1,1635.0,,2,2,1,3,0.0,0
3177,0,0.6522228729999999,46,0,0.2925699849999999,4750.0,11,0,0,0,0.0,1
38149,0,0.123717891,48,0,0.068272229,9300.0,6,0,0,0,0.0,1
149892,0,0.9016496890000002,41,1,1421.0,,12,0,0,0,0.0,0
129810,0,0.256384567,49,0,0.3703259349999999,5000.0,7,0,1,0,0.0,1
138306,0,0.4348813919999999,45,0,0.4077602459999999,10076.0,13,0,1,0,3.0,1
83876,0,0.0048248789999999,67,0,0.0015432099999999,3239.0,6,0,0,0,0.0,1
110966,0,0.020123742,53,0,1730.0,,3,1,1,0,0.0,0
20523,0,0.950784459,45,0,0.579497545,17314.0,12,0,4,0,0.0,1
6912,0,0.025211357,60,0,0.291513899,15000.0,12,0,2,0,0.0,1
57563,0,1.109578084,28,1,0.331333733,5000.0,5,1,1,1,2.0,1
74132,1,0.0488780419999999,35,2,0.097580484,5000.0,6,0,0,0,0.0,1
7214,0,0.597414026,77,2,5483.0,,15,0,3,0,0.0,0
127157,0,0.032268971,70,0,0.234126524,8614.0,11,0,1,0,1.0,1
85353,0,0.5955002389999999,61,0,0.491110814,7480.0,14,0,2,0,0.0,1
115220,0,0.001555446,56,0,0.1903093989999999,15416.0,32,0,2,0,2.0,1
66778,0,0.026599516,51,0,763.0,,5,0,1,0,0.0,0
77093,0,0.9999999,61,0,49.0,,3,0,0,0,0.0,0
115887,0,0.0,59,0,0.2707464949999999,15833.0,12,0,1,0,1.0,1
109080,0,0.097511871,46,0,1589.0,,6,0,1,0,0.0,0
50953,0,0.401355501,40,0,0.5053763439999999,5300.0,5,0,1,0,2.0,1
143588,0,0.0008918679999999,50,0,0.277526821,7083.0,8,0,1,0,2.0,1
105569,0,0.0157248029999999,54,2,0.3120890239999999,5930.0,12,0,2,0,3.0,1
75607,1,0.2534442479999999,52,1,0.416715274,12000.0,15,0,1,0,0.0,1
68376,0,0.010290535,48,0,0.171261248,7000.0,4,0,1,0,0.0,1
108168,0,0.656735552,48,0,0.355330584,8000.0,6,0,1,0,0.0,1
8081,0,0.089146154,62,1,3697.0,,9,0,2,0,0.0,0
66874,0,0.182560635,74,0,600.0,,19,0,0,0,0.0,0
146671,0,0.556601251,40,1,0.1660064139999999,5300.0,6,0,0,0,0.0,1
36669,0,0.012903937,51,1,0.420686345,12500.0,13,0,4,0,1.0,1
114631,0,0.015365406,40,0,0.267988669,5294.0,10,0,1,0,2.0,1
89998,0,0.524195511,71,0,5304.0,,20,0,3,0,0.0,0
37811,0,0.031083531,41,0,2194.0,,7,0,1,0,2.0,0
71017,0,0.355124208,62,0,0.491255523,10863.0,18,0,2,0,0.0,1
125154,0,0.832155713,37,0,0.0528881819999999,9434.0,2,0,0,0,3.0,1
76362,0,0.05499255,64,0,121.0,,10,0,0,0,0.0,0
117620,0,0.0976879459999999,52,0,0.516395628,3750.0,14,0,1,0,1.0,1
101945,0,0.0,24,0,520.0,,2,0,0,0,0.0,0
123589,0,0.9999999,89,0,0.008319468,600.0,1,0,0,0,0.0,1
129643,0,0.000249994,40,1,0.539763113,6500.0,7,0,2,0,0.0,1
116545,0,0.675327047,58,0,0.3768085549999999,9537.0,7,0,2,0,0.0,1
127598,0,0.523179648,74,0,0.3503241489999999,12339.0,15,0,2,0,0.0,1
134007,0,0.019403149,67,0,0.0811531409999999,6000.0,6,0,1,0,0.0,1
117650,0,0.069848041,38,3,7.0,,4,0,0,0,0.0,0
144578,0,0.9999999,25,0,0.343150379,2240.0,2,0,0,0,0.0,1
31230,0,0.0801376709999999,63,0,0.791850679,12000.0,9,0,3,0,1.0,1
74579,0,0.316676597,61,0,0.631121076,11149.0,25,0,4,0,1.0,1
63374,0,0.0503547849999999,47,0,1.2431712190000002,1500.0,11,0,1,0,0.0,1
138838,0,0.4615384619999999,45,2,82.0,,6,0,0,0,0.0,0
58408,0,0.050734989,60,0,0.0979782269999999,4500.0,6,0,0,0,0.0,1
44119,0,0.12706016,64,0,0.2682379349999999,9800.0,8,0,2,0,2.0,1
17245,0,0.0304427529999999,32,0,0.246460283,8333.0,5,0,1,0,0.0,1
57384,0,0.040556924,65,1,1036.0,,11,0,0,0,1.0,0
49440,0,0.4511086879999999,67,0,0.063547083,1730.0,4,0,0,0,0.0,1
46799,0,0.022654727,35,0,1.067613786,3800.0,11,0,2,0,0.0,1
106552,0,0.210598413,49,0,2508.0,,12,0,2,0,1.0,0
40542,0,0.9999999,45,0,0.979841613,4166.0,8,0,2,0,0.0,1
127509,0,0.0056199369999999,77,0,0.0078740159999999,507.0,6,0,0,0,0.0,1
13820,0,0.044696217,52,0,1193.0,,8,0,1,0,0.0,0
88032,1,0.963394508,48,2,4519.0,,9,0,2,0,1.0,0
33429,0,0.0883756909999999,68,0,0.250839866,6250.0,17,0,1,0,0.0,1
142173,0,0.526894621,43,0,0.141858367,4433.0,6,0,0,0,0.0,1
13937,0,0.8273459669999998,83,0,0.691762952,5365.0,28,0,1,0,0.0,1
124189,0,0.223370316,48,0,2281.0,,5,0,1,0,0.0,0
110233,0,0.240829273,58,0,0.274573143,6500.0,13,0,1,1,0.0,1
3704,0,0.0879475329999999,36,0,5.184259838,1600.0,10,0,4,0,0.0,1
122083,0,0.019196,47,0,0.277169188,5750.0,11,0,1,0,0.0,1
104840,0,0.0403273919999999,55,0,0.290016469,12750.0,18,0,2,0,0.0,1
133854,0,0.0275305479999999,58,0,0.1818181819999999,11010.0,20,0,1,0,4.0,1
80546,1,0.946378479,40,0,0.8995072159999998,5681.0,11,2,2,0,1.0,1
99209,0,0.136817175,55,0,0.512337217,2917.0,9,0,1,0,0.0,1
44326,0,0.00131572,58,0,0.000150932,13250.0,5,0,0,0,1.0,1
431,0,0.686083014,57,0,0.1606959199999999,11667.0,6,1,1,0,2.0,1
79817,0,0.46704155,25,0,22.0,1.0,6,0,0,0,4.0,1
22333,0,0.1734320799999999,45,0,0.0540945909999999,10000.0,9,0,1,0,0.0,1
137880,0,0.0,87,0,239.0,,9,0,0,0,0.0,0
149627,0,0.000749938,61,0,1433.0,,5,0,1,0,0.0,0
60872,0,0.018173109,77,0,0.238523852,3332.0,6,0,0,0,0.0,1
21641,0,0.8863928859999999,40,0,0.8034682079999999,3459.0,13,0,1,0,0.0,1
17331,0,0.000399982,48,0,0.0,12670.0,2,0,0,0,0.0,1
100399,0,0.0,65,0,0.0,2084.0,5,0,0,0,0.0,1
142794,0,0.042162894,58,1,0.372719481,8166.0,23,0,2,0,0.0,1
67931,0,0.0,73,0,0.067061488,5740.0,3,0,1,0,0.0,1
78967,0,0.8191722479999999,43,0,0.443573133,2932.0,5,0,0,0,1.0,1
112076,1,0.083860729,33,0,7028.0,,7,0,4,0,0.0,0
60140,0,0.0650891249999999,74,0,0.144088245,2900.0,4,0,0,0,1.0,1
62450,0,0.0,69,0,58.0,,2,0,0,0,0.0,0
103278,0,0.8516632149999998,44,0,1.325812461,4830.0,16,0,2,0,3.0,1
105973,0,0.9999999,48,0,0.5961589059999999,3800.0,2,0,1,0,0.0,1
109251,0,0.197897772,43,0,1.234191452,4000.0,5,0,4,0,1.0,1
109297,0,0.050846545,31,0,0.4274516079999999,6250.0,10,0,2,0,1.0,1
36992,1,0.678937558,29,1,0.386050644,2250.0,4,0,0,0,4.0,1
22055,0,0.9999999,53,0,1706.0,,2,0,1,0,2.0,0
3090,0,0.0,52,0,0.235273117,2800.0,4,0,0,0,0.0,1
95885,0,0.6245080309999999,39,0,0.232753449,5000.0,6,0,1,0,2.0,1
121487,0,1.02376191,46,5,0.575151732,2800.0,8,0,1,0,1.0,1
86634,0,0.7541432679999999,44,0,0.85885674,2833.0,6,0,1,0,0.0,1
17372,0,0.0,79,0,0.3758941339999999,2795.0,11,0,1,0,0.0,1
63055,0,0.273763607,41,0,0.270158689,7750.0,4,0,1,0,1.0,1
107471,0,0.8789831559999999,39,0,0.206344629,6934.0,10,0,0,0,2.0,1
68633,0,0.280848106,51,0,0.729588193,4200.0,10,0,1,0,2.0,1
47358,0,0.832093225,32,1,1.405547226,1333.0,8,0,0,0,0.0,1
18741,0,0.0549007649999999,80,0,0.1628185909999999,3334.0,8,0,1,0,0.0,1
108180,0,0.0,25,0,1.112097669,900.0,2,0,1,0,0.0,1
44287,0,0.0536957109999999,59,0,0.0718272259999999,4120.0,9,0,1,0,1.0,1
120408,0,0.6725172179999999,41,0,0.2175154689999999,2100.0,6,0,0,0,2.0,1
114766,0,0.099643382,44,0,0.4125359770000001,3126.0,5,0,2,0,0.0,1
19211,0,0.213493321,47,0,0.0270880359999999,3100.0,4,0,0,0,1.0,1
5270,0,0.912844333,45,1,0.078870354,6833.0,3,0,0,0,0.0,1
116215,0,0.661129568,62,1,0.071463727,10158.0,2,0,0,1,0.0,1
75544,0,0.129657189,55,0,0.506093369,16000.0,19,0,5,0,2.0,1
6710,0,0.018921393,51,0,0.00523195,8600.0,6,0,0,0,0.0,1
117222,0,0.01050183,54,0,0.6405168439999999,4333.0,23,0,2,0,1.0,1
92840,0,0.1853959679999999,47,0,0.305882353,3484.0,8,0,1,0,1.0,1
101721,0,0.1203438399999999,68,0,1451.0,,8,0,2,0,0.0,0
46912,0,0.0025558289999999,73,0,0.2076063519999999,5100.0,6,0,1,0,0.0,1
26930,0,0.601147586,58,0,0.4599712520000001,16000.0,23,0,3,0,2.0,1
102685,1,0.055887327,86,0,0.406467096,7916.0,17,0,3,0,1.0,1
48620,0,0.079998015,71,0,0.160433522,6550.0,5,0,1,0,0.0,1
130024,0,0.461455463,52,0,0.0904886889999999,8000.0,9,0,0,0,8.0,1
121354,0,0.802586207,46,2,0.56110932,3100.0,12,4,1,0,1.0,1
106147,0,0.0,44,0,0.014496376,4000.0,3,0,0,0,3.0,1
82845,0,0.009499525,45,0,0.001769912,2824.0,1,0,0,0,0.0,1
772,0,0.0,59,1,0.531464095,7881.0,8,2,1,0,0.0,1
29758,1,0.0,32,1,0.5028742809999999,4000.0,10,0,1,0,1.0,1
44493,0,0.098651771,48,0,85.0,,2,0,0,0,0.0,0
81794,0,0.681887874,55,0,0.673330953,2800.0,4,0,1,0,0.0,1
93773,0,0.227372063,61,0,0.219982259,12400.0,8,0,1,0,4.0,1
97895,0,0.2473584209999999,36,0,0.133804595,3960.0,6,0,0,0,1.0,1
93367,0,0.009937601,51,0,0.202273206,4750.0,8,0,1,0,3.0,1
129653,0,0.848717094,73,2,1.3513642890000002,6266.0,4,1,0,0,0.0,1
11128,0,0.0377831029999999,50,0,2.332666933,2500.0,12,0,2,0,2.0,1
88851,0,0.9999999,48,0,0.2479586739999999,6000.0,6,0,1,0,1.0,1
141237,0,0.9999999,31,0,0.319578258,5500.0,5,0,1,0,2.0,1
126848,0,0.022157217,76,0,0.0083901419999999,3813.0,5,0,0,0,0.0,1
94698,0,0.0780218869999999,55,0,0.2094504909999999,11300.0,18,0,2,0,2.0,1
136190,1,0.5502998,51,0,109.0,0.0,3,0,0,0,0.0,1
136877,0,0.1765169919999999,52,0,0.3073971429999999,4690.0,7,0,1,0,0.0,1
133350,0,0.0,44,0,0.3650395519999999,5182.0,5,0,1,0,0.0,1
64268,0,0.0,35,0,0.0,5000.0,4,0,0,0,0.0,1
33705,0,0.0,63,0,0.0782304419999999,4000.0,5,0,0,0,1.0,1
127622,0,0.9999999,51,1,0.073325213,4104.0,3,0,0,0,0.0,1
108465,0,0.4858934170000001,28,2,0.203118752,2500.0,5,0,0,1,2.0,1
20801,0,0.0,61,0,0.285152706,3306.0,11,0,1,0,0.0,1
38487,0,0.0189433949999999,47,0,2253.0,,5,0,1,0,0.0,0
90150,0,0.417152538,40,0,0.24219547,4900.0,7,0,0,0,1.0,1
89050,0,4086.0,34,0,122.0,,1,0,0,0,0.0,0
86415,0,0.037755177,55,0,0.2744509829999999,26000.0,8,0,2,0,1.0,1
116166,0,0.213535304,32,0,0.12560165,4362.0,12,0,0,0,0.0,1
28948,0,0.0017957429999999,44,0,541.0,,12,0,1,0,0.0,0
100185,0,0.1072416509999999,50,0,0.3314649299999999,6600.0,13,0,1,0,3.0,1
132648,0,0.0218274879999999,41,0,0.333263903,4800.0,7,0,1,0,2.0,1
116406,0,0.9999999,34,0,2971.0,,4,0,2,0,0.0,0
73139,0,0.0,61,0,3353.0,,7,0,2,0,0.0,0
1197,0,0.9999999,50,0,0.9148573860000002,2348.0,5,0,1,0,0.0,1
113022,0,0.9999999,59,1,0.004646713,7316.0,0,0,0,0,0.0,1
59058,0,0.002374852,87,0,0.0026525199999999,376.0,1,0,0,0,0.0,1
149544,0,0.0803232519999999,62,0,0.3161465399999999,5158.0,4,0,1,0,0.0,1
111946,0,0.106765915,48,0,2115.0,,4,0,1,0,1.0,0
48578,0,0.018219496,34,0,0.786038902,5500.0,14,0,1,0,2.0,1
47634,0,0.0,39,0,0.100341015,9676.0,2,0,1,0,1.0,1
17633,0,0.7728423669999998,33,0,0.421378715,12750.0,7,0,4,0,2.0,1
115351,0,0.0355945729999999,68,0,0.278582317,2623.0,16,0,0,0,0.0,1
61333,0,0.014420512,39,0,2854.0,,6,0,1,0,0.0,0
9277,0,0.028935997,61,0,0.0072367169999999,5250.0,6,0,0,0,0.0,1
8815,0,0.004880836,89,0,0.0004761449999999,10500.0,12,0,0,0,0.0,1
87873,0,0.284821553,60,0,75.0,,3,0,0,0,0.0,0
46832,0,0.151995748,27,0,162.0,,9,0,0,0,0.0,0
101441,0,0.031704301,54,0,0.210475095,11302.0,10,0,1,0,1.0,1
28060,0,0.373592484,69,0,3592.0,,7,0,2,0,0.0,0
21740,0,0.262473838,61,0,0.410847132,4166.0,9,0,2,0,0.0,1
12668,0,0.9999999,54,0,0.0237812129999999,1681.0,1,0,0,0,0.0,1
59731,0,0.0,56,0,0.0,3750.0,3,0,0,0,0.0,1
70530,0,0.029696242,44,1,0.2969362449999999,12500.0,14,0,2,0,2.0,1
102222,0,0.100764386,41,0,0.3935179859999999,8700.0,8,0,2,0,1.0,1
40632,0,0.148952271,40,0,0.401064071,8833.0,14,0,2,0,2.0,1
143843,0,0.026807877,39,0,0.774757888,3200.0,7,0,1,0,0.0,1
13884,0,0.0,61,0,0.3999285839999999,5600.0,5,0,3,0,0.0,1
36747,0,0.118107025,46,0,9773.0,,11,0,3,0,0.0,0
18301,0,0.069763188,72,0,0.4817530409999999,6000.0,18,0,2,0,0.0,1
142954,0,0.029850746,26,0,124.0,,3,0,0,0,0.0,0
77188,0,0.0581941809999999,36,0,0.8252176719999998,3100.0,8,0,2,0,2.0,1
33456,0,0.107781505,34,0,0.296075213,6700.0,10,0,1,0,0.0,1
76299,0,0.062744671,54,0,0.760597657,17668.0,13,0,3,0,3.0,1
98069,0,0.9999999,34,0,0.0404797599999999,2000.0,0,0,0,1,0.0,1
11156,0,0.189406539,61,0,0.2355406009999999,15750.0,7,0,0,0,1.0,1
42067,0,0.6759291759999999,40,2,0.7556920849999998,8300.0,17,0,1,0,3.0,1
122928,0,0.195037603,57,1,0.4722399489999999,4700.0,15,0,3,0,0.0,1
43190,0,0.003768941,39,0,0.266090298,1040.0,2,0,0,0,2.0,1
119781,0,0.8791251409999998,40,1,4799.0,,13,0,3,0,3.0,0
12316,0,0.177136177,60,0,1960.0,0.0,6,0,1,0,2.0,1
73129,0,0.438744899,55,0,0.174350649,6159.0,3,0,0,0,0.0,1
139526,0,0.976515229,70,0,0.279112754,2704.0,6,0,0,0,0.0,1
125185,0,0.069029289,43,0,0.216918768,8924.0,9,0,2,0,0.0,1
73899,0,0.0,38,0,0.266081546,9000.0,7,0,1,1,0.0,1
58230,0,0.042836272,56,0,0.0169060169999999,5500.0,9,0,0,0,2.0,1
127817,0,658.0,29,0,1778.0,,10,0,1,0,0.0,0
96212,0,0.9999999,68,0,0.294087666,1961.0,9,0,1,0,0.0,1
133785,0,0.0839496549999999,71,0,284.0,,15,0,0,0,0.0,0
133294,0,0.042863264,83,0,782.0,,24,0,0,0,0.0,0
42078,0,0.1025787539999999,44,0,0.264255212,3980.0,13,0,1,0,0.0,1
118115,1,1.03307888,52,0,0.197564276,1477.0,7,0,0,0,0.0,1
43921,0,0.123134219,54,1,0.249959023,6100.0,6,0,1,0,0.0,1
125159,0,0.0072716129999999,74,0,0.001749871,9714.0,11,0,0,0,0.0,1
89356,0,0.15009769,47,0,39.0,0.0,1,0,0,0,1.0,1
61994,0,0.0254611149999999,68,0,0.0128052,36000.0,6,0,0,0,0.0,1
22822,0,0.9999999,36,0,0.0,3200.0,0,0,0,0,1.0,1
130431,0,0.6389726839999998,46,2,5170.0,,18,0,2,0,4.0,0
64780,0,0.078402286,37,0,1563.0,,3,0,1,0,1.0,0
15577,0,0.0032939879999999,62,0,0.121470234,10800.0,8,0,1,0,2.0,1
122073,0,0.4725800399999999,40,0,0.514607679,9583.0,22,0,2,0,0.0,1
147155,0,0.2053111189999999,72,0,0.1441157959999999,4766.0,8,0,1,0,0.0,1
118935,0,0.174367735,48,0,5.631336406,650.0,9,0,2,0,2.0,1
51543,0,0.026615933,39,0,0.088536813,8583.0,9,0,0,0,2.0,1
97612,0,0.993006993,31,1,0.012687428,2600.0,4,0,0,0,0.0,1
86969,0,0.441364091,33,0,0.263416921,4266.0,7,0,0,0,0.0,1
38196,0,0.007230668,66,0,0.139817629,6250.0,9,0,1,0,0.0,1
83759,0,0.1281345,82,0,0.304093567,3419.0,5,0,1,0,0.0,1
14757,0,0.0525377009999999,68,0,560.0,,2,0,0,0,0.0,0
103267,0,0.6671110839999999,51,0,0.105991657,5273.0,5,0,0,0,0.0,1
26020,0,0.0,34,0,0.67608098,4000.0,8,0,2,0,1.0,1
20545,0,0.21897485,54,0,0.28924896,4566.0,11,0,1,0,2.0,1
147318,0,0.1339010639999999,49,0,0.433947856,9166.0,13,0,2,0,2.0,1
33428,0,0.0434581959999999,49,0,0.2628102119999999,5600.0,8,0,2,0,3.0,1
136589,0,0.3304683239999999,51,0,0.921231507,2500.0,8,0,2,0,0.0,1
108792,0,0.5340364329999999,26,0,0.0550807219999999,2105.0,2,0,0,0,0.0,1
134140,0,0.28517858,33,0,907.0,,11,0,0,0,0.0,0
147963,0,0.015160679,56,3,0.1123750429999999,2900.0,8,2,0,0,0.0,1
895,0,0.8191157839999998,54,0,0.528381219,2853.0,7,0,1,0,0.0,1
102575,0,0.256832512,52,0,0.2760741509999999,11543.0,15,0,1,0,0.0,1
43279,0,0.2329592239999999,62,0,0.257298031,7364.0,5,0,1,0,0.0,1
86526,0,0.0725457679999999,79,0,3549.0,,8,0,2,0,0.0,0
67355,0,0.0141982629999999,56,1,0.273041648,6650.0,7,0,1,0,2.0,1
85376,0,1.121187881,44,0,0.3879654949999999,4752.0,6,0,0,0,3.0,1
133430,0,0.3967321270000001,50,0,0.606612601,8014.0,11,0,2,0,2.0,1
90877,0,0.277371562,63,0,0.232546201,7791.0,14,0,0,0,0.0,1
83182,0,0.141727706,44,0,0.400462963,4751.0,8,0,2,0,0.0,1
23263,0,0.020775219,46,0,793.0,,16,0,1,0,0.0,0
24451,0,0.012198709,64,0,0.275034771,2875.0,10,0,1,0,0.0,1
76215,0,0.222156347,49,0,0.2455255859999999,11900.0,12,0,2,0,2.0,1
129881,0,0.050801304,66,0,0.136996904,5167.0,7,0,0,0,0.0,1
50439,0,0.9999999,48,0,2442.0,0.0,2,0,1,0,1.0,1
34486,0,0.024891542,61,1,0.2363329439999999,7700.0,4,0,1,0,1.0,1
79945,0,0.106653604,32,0,0.2830148619999999,4709.0,11,0,1,0,0.0,1
69585,0,0.9999999,27,0,447.0,,2,0,0,0,0.0,0
3296,0,0.9999999,57,0,0.2537257119999999,5300.0,4,0,1,0,4.0,1
19354,0,0.02552047,71,0,0.3779055239999999,4000.0,10,0,1,0,0.0,1
81561,0,0.9999999,45,0,0.4916050089999999,7027.0,7,0,1,0,0.0,1
87465,1,0.9620069080000002,33,0,0.277574142,3000.0,6,0,0,1,0.0,1
30044,1,0.9999999,59,0,0.0,,0,0,0,0,0.0,0
74240,0,0.0560600419999999,56,0,0.1669036619999999,5625.0,4,0,1,0,0.0,1
80551,0,0.278165675,43,0,3989.0,,11,0,2,0,0.0,0
107650,0,0.936985991,45,3,0.221567106,6444.0,18,0,0,0,0.0,1
124342,0,0.005422868,74,0,0.1827269089999999,2500.0,3,0,1,0,0.0,1
48279,0,0.0,28,0,0.0774806299999999,4000.0,3,0,0,0,0.0,1
149339,0,0.0423531129999999,68,0,123.0,,13,0,0,0,0.0,0
85826,0,0.696539524,52,0,0.405324232,7324.0,8,0,0,0,1.0,1
106154,0,0.092569539,80,0,0.294141172,5000.0,5,0,2,0,1.0,1
3005,0,0.1559239409999999,66,0,0.540143492,5853.0,14,0,1,0,0.0,1
145326,0,0.0,45,0,0.286559756,10475.0,13,0,3,0,2.0,1
64660,0,0.229803265,56,0,2012.5,1.0,9,0,3,0,0.0,1
40830,1,0.9999999,28,0,36.0,,1,0,0,0,0.0,0
128280,0,0.038450801,71,0,0.013484523,3262.0,5,0,0,0,0.0,1
117489,0,0.356911539,55,0,0.5049983879999999,3100.0,10,1,1,0,0.0,1
30061,0,0.265166758,34,0,0.283097419,1200.0,8,0,0,0,0.0,1
29331,0,0.9999999,46,0,0.00260794,3450.0,0,1,0,0,0.0,1
12751,0,0.018209596,41,0,0.1251752939999999,16400.0,8,0,2,0,4.0,1
93179,0,0.118826732,40,0,0.410154173,3761.0,12,0,1,0,0.0,1
138953,0,0.050348252,66,1,0.376330216,3100.0,5,0,1,0,1.0,1
10675,0,0.153656009,36,0,0.421372106,7083.0,17,0,1,0,2.0,1
