,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,dummy,monthly_income
7038,0,0.060097242,59,0,1467.0,15,0,1,0,0.0,0,7340.930856749341
124776,0,0.062644842,65,0,8945.0,11,0,4,0,0.0,0,10797.350319736777
55548,0,0.0,94,0,0.0,3,0,0,0,0.0,0,4562.018653329159
132119,0,0.004206533,58,0,1589.0,16,0,1,0,0.0,0,7462.938785431168
112543,1,0.9999999,58,1,444.0,1,2,1,0,0.0,0,5632.819855203753
17733,0,0.3245396529999999,46,0,1887.0,6,0,1,0,3.0,0,6242.859498612892
80304,0,0.111703647,51,0,1500.0,6,0,1,0,1.0,0,6242.859498612892
73383,0,0.9999999,80,0,120.0,0,0,0,0,0.0,0,4195.994867283676
91583,0,0.013487446,34,1,2374.0,12,0,2,0,0.0,0,8289.724129942108
78536,0,0.038815279,58,0,4017.0,17,0,3,0,1.0,0,10214.580832589494
56840,0,0.0,71,0,1412.0,4,0,1,0,0.0,0,5998.8436412492365
85334,0,0.0129453389999999,63,0,2137.0,12,0,1,0,0.0,0,6974.907070703857
43728,0,0.326513345,52,0,2971.0,8,0,1,0,0.0,0,6486.875355976546
104009,0,0.0,70,0,1229.0,8,0,1,0,0.0,0,6486.875355976546
26730,0,0.010349741,74,0,1186.0,7,0,2,0,0.0,0,7679.684486532969
112196,0,0.2037627029999999,81,0,1107.0,3,0,1,0,0.0,0,5876.835712567408
14737,0,0.9999999,25,0,0.0,0,0,0,1,0.0,0,4195.994867283676
55992,0,0.408742441,39,0,257.0,4,0,0,0,0.0,0,4684.026582010987
19976,0,0.2186890659999999,81,0,178.0,10,0,0,0,0.0,0,5416.074154101953
131011,0,0.2518151379999999,46,0,5362.0,4,0,2,0,0.0,0,7313.660700487486
97384,0,0.027936254,46,0,39.0,3,0,0,0,0.0,0,4562.018653329159
69189,1,1.224775225,37,4,1921.0,9,2,1,3,0.0,0,6608.883284658375
60098,0,0.003213009,58,0,2401.0,4,0,1,0,0.0,0,5998.8436412492365
8035,0,0.062288796,63,0,136.0,5,0,0,0,0.0,0,4806.034510692814
14067,0,0.0,45,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
146327,0,0.031635414,47,0,1724.0,15,0,1,0,0.0,0,7340.930856749341
91974,0,0.069986003,47,0,1876.0,5,0,1,0,0.0,0,6120.851569931064
149865,0,0.604762134,49,0,3468.0,13,0,1,0,1.0,0,7096.914999385685
108110,0,0.0789118099999999,61,0,1303.0,4,0,1,1,0.0,0,5998.8436412492365
75094,1,0.4627269649999999,63,0,2795.0,13,0,1,0,1.0,0,7096.914999385685
92841,0,0.055590865,70,0,179.0,6,0,1,0,0.0,0,6242.859498612892
138754,0,0.13759312,63,0,82.0,2,0,0,0,0.0,0,4440.010724647332
36501,0,0.0,50,0,740.0,3,0,1,0,0.0,0,5876.835712567408
111212,0,0.0038000579999999,63,0,10.0,12,0,0,0,0.0,0,5660.090011465609
145145,0,0.123374089,61,0,57.0,3,0,0,0,0.0,0,4562.018653329159
15478,0,0.059056508,70,0,47.0,8,0,0,0,0.0,0,5172.058296738298
32820,0,0.808583362,65,0,6969.0,20,0,1,0,0.0,0,7950.970500158479
26333,0,0.010171235,61,0,1556.0,8,0,1,0,0.0,0,6486.875355976546
132225,0,0.0,87,0,0.0,4,0,0,0,0.0,0,4684.026582010987
143685,0,0.0,57,0,0.0,2,0,0,0,0.0,0,4440.010724647332
1792,0,0.017796441,92,0,2.0,2,0,0,0,0.0,0,4440.010724647332
141122,0,0.295794585,49,1,3246.0,16,0,2,0,1.0,0,8777.755844669417
32880,0,0.1542976389999999,68,0,675.0,5,0,0,0,0.0,0,4806.034510692814
123789,1,0.9999999,30,0,27.0,1,0,0,0,0.0,0,4318.0027959655035
31554,1,0.736895555,40,0,2494.0,11,0,1,0,1.0,0,6852.89914202203
12842,0,0.0074060189999999,48,0,2124.0,6,0,1,0,2.0,0,6242.859498612892
28120,0,0.029540349,86,0,36.0,4,0,0,0,0.0,0,4684.026582010987
87979,0,0.0470476479999999,64,0,2022.0,2,0,1,0,0.0,0,5754.827783885581
34167,0,0.9999999,66,0,80.0,2,3,0,0,0.0,0,4440.010724647332
147597,0,0.504996669,43,0,2151.0,6,0,1,0,0.0,0,6242.859498612892
137063,0,0.0080862529999999,50,0,1124.0,7,0,1,0,0.0,0,6364.867427294719
37882,0,0.185133354,62,0,1465.0,19,0,1,0,4.0,0,7828.962571476652
138020,0,0.0,41,0,2705.0,8,0,2,0,0.0,0,7801.692415214797
16254,0,0.4910006670000001,44,0,496.0,3,0,0,0,0.0,0,4562.018653329159
88528,0,0.0043645139999999,70,0,12.0,4,0,0,0,0.0,0,4684.026582010987
120090,0,0.000276676,51,0,0.0,8,0,0,0,0.0,0,5172.058296738298
119931,0,0.145045243,54,0,2895.0,11,0,2,0,0.0,0,8167.716201260279
17291,0,0.042539149,69,0,78.0,12,0,0,0,0.0,0,5660.090011465609
108381,0,0.1900899899999999,37,0,2449.0,8,0,1,0,4.0,0,6486.875355976546
43165,0,0.042391522,59,0,747.0,3,0,1,0,0.0,0,5876.835712567408
99391,0,0.734430082,34,0,1075.0,5,0,0,0,0.0,0,4806.034510692814
124525,0,0.43183553,40,0,477.0,11,0,0,1,0.0,0,5538.082082783781
14698,0,0.9999999,62,1,1287.0,4,0,1,0,0.0,0,5998.8436412492365
38020,0,0.5322206769999999,50,0,34.0,1,0,0,0,0.0,0,4318.0027959655035
42973,0,0.166854143,83,0,40.0,2,0,0,0,0.0,0,4440.010724647332
100327,0,0.0052477169999999,77,0,7.0,4,0,0,0,0.0,0,4684.026582010987
742,0,0.2438429739999999,52,0,1321.0,9,0,1,0,2.0,0,6608.883284658375
136584,0,0.0,54,0,2942.0,6,0,1,0,1.0,0,6242.859498612892
93071,0,0.0443591129999999,52,0,887.0,5,0,1,0,2.0,0,6120.851569931064
121848,0,0.8725042499999999,55,0,3596.0,11,0,2,0,2.0,0,8167.716201260279
24400,0,0.0336579889999999,51,0,62.0,9,0,0,0,0.0,0,5294.066225420125
124158,0,0.539860447,37,0,1143.0,10,0,0,0,0.0,0,5416.074154101953
121077,0,0.3642902029999999,60,1,2686.0,8,0,1,0,0.0,0,6486.875355976546
29401,0,0.0476174389999999,71,0,438.0,9,0,1,0,0.0,0,6608.883284658375
5662,0,0.0018499079999999,68,1,6.0,9,1,0,0,0.0,0,5294.066225420125
90080,0,0.050307509,65,0,108.0,3,0,0,0,0.0,0,4562.018653329159
144236,0,0.002452462,66,0,873.0,6,0,1,0,0.0,0,6242.859498612892
31765,0,0.007129411,49,0,3562.0,5,0,2,0,0.0,0,7435.668629169313
134908,0,0.0,60,0,2.0,9,0,0,0,0.0,0,5294.066225420125
127818,0,0.423614174,29,0,518.0,5,0,0,2,0.0,0,4806.034510692814
88100,0,0.426692473,61,0,3542.0,12,0,2,0,1.0,0,8289.724129942108
65799,0,0.0175548139999999,62,0,1068.0,18,0,1,0,0.0,0,7706.9546427948235
141969,0,0.0197507599999999,57,0,2397.0,6,0,1,0,0.0,0,6242.859498612892
97410,0,0.380573084,65,0,5568.0,8,0,3,0,0.0,0,9116.509474453045
138732,0,0.224009741,54,0,1395.0,11,0,1,0,0.0,0,6852.89914202203
101570,0,0.134360583,54,0,2452.0,10,0,1,0,0.0,0,6730.891213340203
65235,0,0.5258105379999999,59,0,2867.0,3,0,1,0,0.0,0,5876.835712567408
35883,0,0.032756984,56,0,90.0,8,0,0,0,0.0,0,5172.058296738298
121229,0,0.0231488429999999,48,0,13.0,1,0,0,0,0.0,0,4318.0027959655035
105983,1,1.044510386,58,2,576.0,12,0,0,0,0.0,0,5660.090011465609
113574,1,0.8761238759999997,41,1,220.0,4,3,0,0,0.0,0,4684.026582010987
114539,1,0.466962798,26,1,24.0,2,2,0,0,0.0,0,4440.010724647332
22513,1,0.99040096,45,0,2461.0,3,1,1,0,0.0,0,5876.835712567408
56763,0,0.433195851,80,2,122.0,7,0,0,0,0.0,0,5050.05036805647
59250,0,0.0510921879999999,38,0,561.0,7,0,0,0,0.0,0,5050.05036805647
96214,1,0.5690515809999999,23,0,10.0,1,0,0,0,0.0,0,4318.0027959655035
30498,0,0.9999999,37,0,0.0,0,1,0,0,0.0,0,4195.994867283676
96531,0,0.976935877,55,0,1493.0,12,0,0,0,0.0,0,5660.090011465609
43988,0,0.011299435,83,0,6.0,3,0,0,0,0.0,0,4562.018653329159
66805,0,0.0,57,0,1309.0,6,0,1,0,0.0,0,6242.859498612892
77958,0,0.0,51,0,2631.0,5,0,3,0,0.0,0,8750.485688407562
6295,1,0.97084771,62,5,9914.0,10,0,2,0,0.0,0,8045.708272578451
3836,0,0.0922792619999999,60,0,1935.0,10,0,1,0,1.0,0,6730.891213340203
109689,0,0.0018084139999999,51,0,1736.0,7,0,1,0,0.0,0,6364.867427294719
82619,0,0.022806066,51,0,731.0,8,0,2,0,0.0,0,7801.692415214797
99113,0,0.909590177,49,0,1435.0,10,0,0,0,0.0,0,5416.074154101953
92243,0,0.04035632,37,0,1831.0,5,0,1,0,0.0,0,6120.851569931064
119213,0,0.077393401,65,0,1393.0,12,0,2,0,0.0,0,8289.724129942108
19261,0,0.9999999,47,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
114492,0,0.923688814,48,1,6428.0,14,0,3,0,2.0,0,9848.55704654401
9706,0,0.5648702589999999,69,1,784.0,7,1,1,1,0.0,0,6364.867427294719
115308,0,0.036358807,67,0,68.0,5,0,0,0,0.0,0,4806.034510692814
45276,0,0.0418429349999999,77,0,784.0,6,0,1,0,0.0,0,6242.859498612892
3332,0,0.0,74,0,2261.0,7,0,1,0,0.0,0,6364.867427294719
120036,0,0.0013693829999999,82,0,1.0,4,0,0,0,0.0,0,4684.026582010987
84373,0,0.1450777199999999,43,0,7560.0,9,0,2,0,3.0,0,7923.700343896624
94714,0,0.0,52,1,0.0,6,0,0,0,0.0,0,4928.0424393746425
13711,0,0.0036429079999999,73,0,15.0,7,0,0,0,0.0,0,5050.05036805647
9140,0,0.0,38,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
49753,0,0.151115869,51,0,407.0,5,0,0,0,0.0,0,4806.034510692814
95991,1,0.976747667,71,2,1155.0,15,1,0,0,0.0,0,6026.113797511091
89214,0,4468.0,50,0,2047.0,8,0,1,0,0.0,0,6486.875355976546
69853,0,0.025616775,64,0,3804.0,7,0,1,0,0.0,0,6364.867427294719
134536,0,0.010884835,55,1,29.0,10,0,0,0,0.0,0,5416.074154101953
116017,0,1.950166113,68,0,455.0,2,1,0,0,0.0,0,4440.010724647332
137217,0,0.2331634619999999,48,0,3975.0,19,0,2,0,1.0,0,9143.7796307149
103645,0,0.010102046,74,0,1255.0,7,0,0,0,0.0,0,5050.05036805647
133935,0,0.019393594,63,0,3582.0,8,0,1,0,0.0,0,6486.875355976546
84126,0,0.0055899749999999,42,0,2379.0,12,0,2,0,0.0,0,8289.724129942108
112379,0,0.001931158,62,0,1502.0,21,0,2,0,0.0,0,9387.795488078556
47887,0,0.045070972,81,0,27.0,2,0,0,0,0.0,0,4440.010724647332
27527,0,0.067047169,67,0,2923.0,20,0,1,0,0.0,0,7950.970500158479
22385,0,0.184396268,39,0,3918.0,10,0,2,4,2.0,0,8045.708272578451
77216,0,0.018645867,61,0,2657.0,11,0,1,0,0.0,0,6852.89914202203
82724,0,0.0,22,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
49644,0,0.0,81,0,986.0,9,0,1,0,0.0,0,6608.883284658375
40277,0,0.011747063,81,0,4.0,3,0,0,0,0.0,0,4562.018653329159
57681,0,0.082849743,49,0,1205.0,9,0,1,0,0.0,0,6608.883284658375
9068,0,0.007631055,89,1,486.0,11,0,0,0,0.0,0,5538.082082783781
15887,0,0.137448036,63,0,109.0,5,0,0,0,0.0,0,4806.034510692814
51285,0,0.9999999,79,0,22.0,1,0,1,0,0.0,0,5632.819855203753
9719,0,0.138444298,58,0,301.0,5,0,0,0,0.0,0,4806.034510692814
12804,0,0.0434398989999999,80,0,178.0,4,0,0,0,0.0,0,4684.026582010987
15073,0,0.11479426,64,0,81.0,3,0,0,0,0.0,0,4562.018653329159
124183,0,0.921852247,43,1,898.0,3,0,0,0,0.0,0,4562.018653329159
139506,0,0.0,27,0,0.0,2,0,0,0,0.0,0,4440.010724647332
96274,0,0.02090215,63,0,3655.0,10,0,2,0,0.0,0,8045.708272578451
82686,0,0.057203991,56,0,3009.0,8,0,2,0,0.0,0,7801.692415214797
85242,0,0.040650337,81,0,450.0,12,0,0,0,0.0,0,5660.090011465609
112246,0,0.243999444,70,0,3024.0,11,0,2,0,0.0,0,8167.716201260279
61774,0,0.2337648669999999,29,0,1909.0,7,0,1,0,0.0,0,6364.867427294719
117732,0,0.05988024,31,0,568.0,3,0,0,0,0.0,0,4562.018653329159
27378,1,0.389861858,46,2,1255.0,11,0,2,0,0.0,0,8167.716201260279
18477,0,0.171105069,69,0,5220.0,25,0,2,0,0.0,0,9875.827202805867
68045,0,0.0,73,0,973.0,5,0,1,0,0.0,0,6120.851569931064
25771,0,0.354380657,73,0,4256.0,22,0,2,0,1.0,0,9509.803416760384
13998,1,0.9999999,42,1,914.0,1,2,1,0,0.0,0,5632.819855203753
77819,0,0.1802277039999999,59,1,3452.0,14,0,1,0,0.0,0,7218.922928067514
115938,0,0.1390880989999999,53,0,1854.0,6,0,1,0,0.0,0,6242.859498612892
135131,0,0.2681506459999999,55,0,3406.0,7,0,2,0,1.0,0,7679.684486532969
73167,0,0.1264152769999999,62,1,1959.0,10,0,2,0,0.0,0,8045.708272578451
84001,0,0.121980752,62,0,2212.0,15,0,1,0,0.0,0,7340.930856749341
49720,0,0.206421413,57,0,1771.0,14,0,2,0,2.0,0,8533.739987305762
141660,0,0.027724403,49,0,463.0,6,0,0,0,0.0,0,4928.0424393746425
25361,0,0.013249448,67,0,9.0,1,0,0,0,0.0,0,4318.0027959655035
44270,1,0.88384755,45,0,28.0,2,0,0,0,3.0,0,4440.010724647332
115205,0,0.9999999,58,0,1276.0,3,0,1,0,0.0,0,5876.835712567408
114797,0,0.27872258,70,0,237.0,4,0,0,0,0.0,0,4684.026582010987
64987,1,0.9306453830000002,48,1,1291.0,12,0,0,0,0.0,0,5660.090011465609
16316,0,0.8888888889999998,39,0,21.0,1,0,0,0,0.0,0,4318.0027959655035
19855,0,0.005568807,52,0,1075.0,12,0,1,0,0.0,0,6974.907070703857
85073,0,0.298805966,72,0,1982.0,16,0,1,0,0.0,0,7462.938785431168
106764,0,0.8606278739999998,52,0,129.0,1,0,0,0,0.0,0,4318.0027959655035
140949,0,0.0,70,0,91.0,9,0,0,0,0.0,0,5294.066225420125
129631,0,0.282072702,56,0,4883.0,7,0,1,0,0.0,0,6364.867427294719
902,0,0.187797808,85,0,790.0,6,0,0,0,0.0,0,4928.0424393746425
80351,0,0.4550605489999999,46,0,8842.0,8,0,2,0,0.0,0,7801.692415214797
100283,0,0.0,62,0,0.0,2,0,0,0,0.0,0,4440.010724647332
91699,0,0.001569255,41,0,650.0,8,0,1,0,0.0,0,6486.875355976546
84903,0,0.0272904129999999,57,0,44.0,5,0,0,0,0.0,0,4806.034510692814
141936,0,0.3541872529999999,52,0,7976.0,13,0,5,0,0.0,0,12356.183236338682
11065,0,0.9999999,38,0,320.0,1,1,0,0,0.0,0,4318.0027959655035
136614,0,0.317300709,39,0,337.0,6,0,0,0,4.0,0,4928.0424393746425
129699,0,0.385173627,55,0,892.0,9,0,0,0,0.0,0,5294.066225420125
54481,0,0.2235472759999999,68,0,3357.0,5,0,2,0,0.0,0,7435.668629169313
142483,0,0.291175094,47,0,354.0,6,0,0,0,0.0,0,4928.0424393746425
145266,0,0.97770223,57,0,3228.0,5,0,1,0,0.0,0,6120.851569931064
124,0,0.2779566789999999,39,0,4090.0,9,0,2,0,0.0,0,7923.700343896624
133662,0,0.0,49,0,5949.0,12,0,3,0,1.0,0,9604.541189180356
73280,0,0.1837022839999999,65,0,2345.0,8,0,2,0,0.0,0,7801.692415214797
118729,0,0.111434459,55,0,1223.0,16,0,1,0,0.0,0,7462.938785431168
48113,0,0.7646418609999999,47,0,3182.0,8,0,2,0,0.0,0,7801.692415214797
2733,0,0.266489007,28,0,12.0,2,0,0,0,0.0,0,4440.010724647332
89210,0,0.015492254,24,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
128925,0,0.7340334809999999,65,0,3793.0,22,0,2,0,0.0,0,9509.803416760384
111121,0,0.2235251339999999,62,1,79.0,8,0,0,0,2.0,0,5172.058296738298
35984,0,0.0227990879999999,83,0,310.0,4,0,0,0,0.0,0,4684.026582010987
139503,0,0.0758472669999999,76,3,439.0,9,1,0,0,0.0,0,5294.066225420125
65052,0,0.9999999,64,0,71.0,1,0,0,0,0.0,0,4318.0027959655035
145640,0,0.2028842999999999,40,2,1242.0,5,0,2,1,0.0,0,7435.668629169313
65398,0,0.04049595,77,0,12.0,1,0,0,0,0.0,0,4318.0027959655035
63195,0,0.140514461,43,0,2643.0,3,0,1,0,0.0,0,5876.835712567408
123083,0,0.796499273,41,0,912.0,6,0,0,0,0.0,0,4928.0424393746425
24982,0,0.0367063359999999,47,0,1409.0,12,0,1,0,0.0,0,6974.907070703857
145050,0,0.2353135859999999,44,0,8053.0,13,0,2,0,0.0,0,8411.732058623935
51223,0,0.1017653169999999,68,0,79.0,3,0,0,0,0.0,0,4562.018653329159
45589,0,0.0,57,0,0.0,3,0,0,0,0.0,0,4562.018653329159
24192,0,0.002013583,40,0,5195.0,6,0,4,0,2.0,0,10187.31067632764
135969,1,0.9999999,32,0,219.0,2,2,0,0,0.0,0,4440.010724647332
19967,0,0.9999999,40,0,0.0,0,0,0,0,0.0,0,4195.994867283676
32104,0,0.9999999,57,1,2516.0,7,0,1,0,0.0,0,6364.867427294719
66462,0,0.9999999,66,0,0.0,1,0,0,0,2.0,0,4318.0027959655035
130888,0,0.938061938,61,0,3086.0,6,0,2,0,0.0,0,7557.67655785114
134273,0,0.087969745,59,0,1029.0,6,0,0,0,0.0,0,4928.0424393746425
131130,0,0.00039999,76,0,1312.0,12,0,1,0,0.0,0,6974.907070703857
58296,0,0.054834659,84,0,35.0,3,0,0,0,0.0,0,4562.018653329159
66948,0,0.9999999,60,0,90.0,4,0,0,0,0.0,0,4684.026582010987
6656,0,0.2065186039999999,28,0,1272.0,6,0,1,0,0.0,0,6242.859498612892
79108,0,0.6424196979999999,47,0,3526.0,12,0,1,0,0.0,0,6974.907070703857
114048,0,0.30017524,45,1,1153.0,6,0,2,0,0.0,0,7557.67655785114
101636,0,0.0273272009999999,71,0,648.0,16,0,1,0,0.0,0,7462.938785431168
58380,0,0.357354987,53,0,1795.0,9,0,2,0,0.0,0,7923.700343896624
97748,0,0.0789975309999999,88,0,2449.0,8,0,2,0,0.0,0,7801.692415214797
29772,0,0.143654774,52,0,3070.0,5,0,1,0,0.0,0,6120.851569931064
48748,0,0.011745027,58,0,10.0,8,0,0,0,0.0,0,5172.058296738298
7776,0,0.5918206839999999,45,2,4639.0,4,0,1,0,2.0,0,5998.8436412492365
5301,0,0.2367509399999999,63,0,1796.0,7,0,2,0,0.0,0,7679.684486532969
120980,0,0.9999999,22,0,20.0,0,0,0,0,0.0,0,4195.994867283676
127143,0,0.0217315969999999,90,0,13.0,7,0,0,0,0.0,0,5050.05036805647
56880,0,0.0257306079999999,52,0,1978.0,9,0,1,0,0.0,0,6608.883284658375
139728,0,0.0,57,0,2156.0,5,0,1,0,0.0,0,6120.851569931064
7915,0,0.9999999,22,0,29.0,0,0,0,0,0.0,0,4195.994867283676
134725,0,0.2797115239999999,64,0,706.0,9,0,0,0,0.0,0,5294.066225420125
145694,0,0.2731695829999999,63,0,1996.0,9,0,2,0,2.0,0,7923.700343896624
10806,0,0.0,61,0,2400.0,7,0,1,0,0.0,0,6364.867427294719
79755,0,0.023017569,64,0,41.0,6,0,0,0,0.0,0,4928.0424393746425
143218,0,0.0,41,0,1749.0,9,0,1,0,0.0,0,6608.883284658375
69554,0,0.0008301839999999,67,0,3613.0,25,0,2,0,0.0,0,9875.827202805867
121986,0,0.0189131129999999,56,0,1930.0,18,0,2,0,1.0,0,9021.771702033073
34137,0,0.0,67,0,0.0,2,0,0,0,0.0,0,4440.010724647332
143194,0,0.001479941,72,0,415.0,4,0,1,0,0.0,0,5998.8436412492365
137554,0,0.117613575,61,0,3390.0,9,0,1,0,0.0,0,6608.883284658375
65823,0,0.9999999,70,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
112572,0,0.190640837,34,0,945.0,8,0,0,0,2.0,0,5172.058296738298
59199,0,0.9999999,47,0,343.0,2,0,0,0,0.0,0,4440.010724647332
124083,0,0.339016946,56,1,1312.0,6,0,1,0,0.0,0,6242.859498612892
4458,0,0.0,73,0,2508.0,5,0,2,0,0.0,0,7435.668629169313
123123,0,0.0055844839999999,42,0,407.0,4,0,0,0,0.0,0,4684.026582010987
122293,0,0.07148163,83,1,777.0,16,0,1,0,0.0,0,7462.938785431168
114605,1,0.9999999,65,1,702.0,3,1,0,0,0.0,0,4562.018653329159
28523,0,0.0063823459999999,61,0,1690.0,16,0,1,0,4.0,0,7462.938785431168
85607,0,0.0335488229999999,56,0,2830.0,16,0,1,0,0.0,0,7462.938785431168
73841,0,0.027093828,60,0,2456.0,7,0,2,0,0.0,0,7679.684486532969
138288,0,0.8068795409999998,39,0,1279.0,9,0,0,0,0.0,0,5294.066225420125
33187,0,0.011671057,52,0,11.0,10,0,0,0,0.0,0,5416.074154101953
146769,0,1.04111656,49,0,797.0,8,0,0,0,0.0,0,5172.058296738298
125519,0,0.029461977,57,0,885.0,5,0,1,0,0.0,0,6120.851569931064
23070,0,0.0374560889999999,69,0,1000.0,15,0,1,0,0.0,0,7340.930856749341
92616,0,0.9999999,41,0,153.0,1,1,0,0,0.0,0,4318.0027959655035
110377,0,0.108074928,51,0,81.0,2,0,0,0,0.0,0,4440.010724647332
41606,0,0.005062184,41,0,1095.0,3,0,1,0,0.0,0,5876.835712567408
118869,0,0.107144526,69,0,866.0,3,0,1,0,0.0,0,5876.835712567408
76377,0,0.100721718,56,0,585.0,6,0,0,0,0.0,0,4928.0424393746425
21324,0,0.003682973,95,0,14.0,12,0,0,0,0.0,0,5660.090011465609
141367,0,0.0,74,0,1249.0,5,0,1,0,0.0,0,6120.851569931064
50378,0,0.049883346,46,0,1493.0,8,0,2,0,0.0,0,7801.692415214797
108396,0,0.1709837989999999,53,0,3027.0,19,0,2,0,3.0,0,9143.7796307149
74448,0,0.0,59,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
45518,0,0.049582645,65,0,2267.0,13,0,1,0,0.0,0,7096.914999385685
46297,0,0.6036476499999999,63,0,8951.0,12,0,3,0,0.0,0,9604.541189180356
137023,0,0.04999875,64,0,1469.0,5,0,1,0,0.0,0,6120.851569931064
36836,0,0.2707292709999999,33,0,150.0,2,0,0,0,0.0,0,4440.010724647332
28710,0,0.0655415599999999,88,0,1100.0,7,0,1,0,0.0,0,6364.867427294719
134747,0,0.005321164,88,0,1393.0,7,0,2,0,0.0,0,7679.684486532969
22565,0,0.0,68,0,1038.0,7,0,1,0,0.0,0,6364.867427294719
25877,1,0.953841026,25,0,990.0,5,0,1,0,0.0,0,6120.851569931064
140919,0,0.006814472,52,0,1392.0,5,0,1,0,0.0,0,6120.851569931064
20998,0,0.0042349149999999,42,1,7004.0,16,0,1,0,0.0,0,7462.938785431168
58457,0,0.032578619,30,0,165.0,9,0,0,0,0.0,0,5294.066225420125
39806,0,0.0,50,0,0.0,7,0,0,0,0.0,0,5050.05036805647
35440,0,0.0,71,0,1578.0,3,0,1,0,0.0,0,5876.835712567408
83930,0,0.0,70,0,0.0,4,0,0,0,0.0,0,4684.026582010987
43871,0,0.654244355,46,0,3507.0,16,0,2,0,2.0,0,8777.755844669417
120975,0,0.113050596,56,0,2815.0,13,0,1,0,1.0,0,7096.914999385685
91292,0,0.000280692,59,0,457.0,4,0,1,0,0.0,0,5998.8436412492365
34322,0,0.003728093,43,0,3.0,3,0,0,0,0.0,0,4562.018653329159
11178,0,0.9999999,76,0,0.0,4,0,0,0,0.0,0,4684.026582010987
103262,1,0.209796653,42,0,6104.0,22,0,8,0,1.0,0,17398.70577218988
127862,0,0.9999999,68,0,0.0,1,0,0,0,0.0,0,4318.0027959655035
64736,0,0.011919163,48,0,1502.0,10,0,2,0,0.0,0,8045.708272578451
95721,0,0.9999999,42,0,40.0,0,2,0,0,0.0,0,4195.994867283676
